gene,HL60,MCF7,K562,A2780,A549,SKOV3
DDB2,4.70045935,6.135137174,4.466683406,4.621022831,5.964441153,4.212186922
DCTD,4.793598875,4.550802435,6.435153921,6.301443404,5.776615669,6.798499745
PCMT1,6.01615393,6.664456556,7.187206602,4.437849174,6.173948434,6.79599904
NFIL3,2.458690587,3.151538694,4.987671611,2.579873657,3.331757204,3.836085131
HMG20B,5.400864343,6.015073874,5.428130955,6.205927567,3.721797345,6.268316664
PLSCR1,3.053242106,4.252933931,6.684073972,4.521091882,5.480853966,6.288336545
OXSR1,3.417814887,4.210047998,4.812758453,4.779278549,4.280960066,3.924024727
PIK3R3,1.438013879,4.774868012,1.935324173,3.501420156,1.351046863,2.019595561
HMGCS1,2.727944678,6.037722619,7.441630387,5.725460252,6.768641726,6.733630135
NRAS,3.852938399,6.461671411,5.624178838,4.96654137,5.060816531,5.853385404
ATG3,5.304695648,5.608024002,5.342920763,5.152131832,5.575998192,6.017857536
ZNF451,3.04004917,3.168312198,4.605930868,3.798113769,3.011977033,3.832491041
TSPAN4,1.387475608,3.945315915,4.147381801,5.235288259,6.406029539,7.092798505
ZMYM2,4.281263273,4.889729635,4.23222335,5.446223385,4.529798381,4.536303159
PRKX,2.411279586,2.460400443,3.463856003,3.756276346,3.955152678,3.576569327
EIF5,5.207892258,6.57543119,5.863624723,6.953859052,7.125205833,7.289626238
BTK,5.718303783,0.164360817,5.452881927,0.046820227,0.087094152,0.201468728
PROS1,0.287033361,0.839044635,4.946267395,5.267439684,3.42580028,4.169672733
THAP11,3.7540266,4.341033352,3.809058014,5.171708813,4.344235203,5.99772169
NFKBIB,3.657178124,4.056311847,4.036524052,3.988419079,4.633489974,4.073843819
ETFB,7.27713848,7.738935884,7.509440403,6.709455136,6.619315002,6.977639119
NVL,5.304628643,4.857673213,5.23894302,4.985404088,4.193880214,4.08641254
LPAR2,4.083092668,4.67647627,3.953507672,1.881788244,1.095272826,4.280278052
SMARCC1,3.792669369,4.027244327,5.897922339,5.841739293,4.032491495,2.049192226
TLK2,3.020695545,5.706619736,4.38462767,4.357412353,4.273599773,4.713591915
GRN,7.052088005,7.627303726,6.21156066,6.443242243,6.408384513,8.659465072
FOXJ3,3.79399768,3.628886141,4.139746663,3.963256674,3.603510364,4.365739951
TCTN1,0.85043118,3.78464585,2.948111777,3.686361646,4.338895377,4.496158682
SESN1,1.676367948,4.411980468,3.174931969,2.852255917,2.956486644,2.810630915
SHB,0.059560829,2.478038025,1.818116251,0.56332963,2.267830184,3.640942596
GADD45B,4.95671909,4.865105129,3.903674226,3.284420007,5.103851651,6.25982512
FAIM,-0.063661064,3.618196861,1.988582937,3.534097972,4.242356057,5.264445498
MYL9,0.677063489,0.078423113,2.194016682,8.329617736,3.975153997,4.697108597
TFDP1,6.277361549,4.925194171,5.517945986,6.689055488,5.741044381,6.370798483
INTS3,3.924633628,4.366797032,4.587384697,5.81040645,3.533169525,4.951666555
STXBP2,6.157890853,5.811308525,7.018481718,3.615743399,3.821260285,6.249051617
CD40,-0.016863932,-0.016863932,1.97276641,2.392289841,2.701632293,3.579588991
ARHGAP1,3.879906386,5.180064271,4.033957556,4.914017265,4.425450023,6.546701646
HAT1,5.486023733,6.277949022,7.552935865,7.513895249,6.616754894,6.221116276
GLRX,5.342625425,3.022217848,3.185074163,3.234010923,6.982484936,5.85135386
MEF2C,0.129964308,0.023351875,3.402768688,5.648834138,0.037122773,0.745873946
PRPF4,4.009815436,5.361140815,4.247463278,5.707900113,5.564185529,4.709698663
TGFBR2,2.754984937,2.631017177,0.49431208,1.288440834,5.440110248,4.964521872
FGFR2,0.103592148,3.712125306,0.063815902,0.116612344,0.310465492,3.515313073
POP4,5.9128612,6.029581234,5.118939057,4.749294776,6.922714206,5.942588494
C2CD2,1.475228525,1.497082458,3.054056669,3.403764058,2.481400945,3.582929194
PSME1,7.003902758,8.312942629,6.694676028,7.94303158,6.909932015,7.941608451
RRAGA,3.24257529,5.349303721,4.724418615,5.320048465,6.315055699,5.850182603
RPS6,11.23860577,10.15415216,10.65200594,10.2801132,10.77433599,9.531482105
PRKCQ,0.322466018,-0.011419665,3.196683387,0.029871394,2.288923131,-0.011419665
NPC1,2.674034984,4.36307659,5.252557317,3.956845993,4.429119508,5.713832535
NUDCD3,3.771493513,4.236150087,4.379123276,4.58511619,4.039036385,4.550449611
PDGFA,0.186112383,3.778242303,2.902071146,0.609876735,2.959223192,2.461087718
FAM20B,2.58340949,4.35102874,4.9696152,4.673177221,4.196594812,4.822547269
ARID5B,0.08904923,3.097992693,0.463914883,3.274976639,0.606090604,3.288930099
EGR1,0.772455267,3.072382184,5.229002503,4.181685608,-0.002837595,7.573125856
PIGB,5.007467855,3.635184736,3.469900993,2.495473929,4.297262461,3.732388452
TICAM1,0.826221775,1.79327611,2.562888385,2.591492839,1.517088258,3.574799637
ABCC5,2.712862408,4.877225023,4.950694353,4.614306108,2.923437776,4.07781876
TIMM17B,5.853400879,6.40510967,7.319445386,6.484809241,5.94662342,6.174001194
EPB41L2,0.556603094,4.221514354,5.591927261,5.147174507,5.532430316,7.382251738
CHIC2,2.933441565,2.872259547,4.040268628,3.282587617,2.625500488,4.1844259
HSPA8,8.123568189,9.516347429,8.185859416,10.51896473,10.67055708,10.30067985
SORBS3,0.527969651,2.364838605,3.699466548,6.054145381,5.408700586,6.559911394
PIP4K2B,3.222833461,3.09082151,4.188433824,4.81951995,4.268728011,5.215090989
GABPB1,3.335510996,5.191826468,4.474763191,4.326372999,5.177192792,4.257627658
MICALL1,1.262571369,2.113386738,3.746595425,3.039500713,2.735604855,5.310224247
PGM1,3.566571759,2.067513859,-0.111028622,4.958109232,4.698574701,6.643664939
PIN1,5.249076623,5.289195182,6.096990014,6.060417018,5.189158784,6.478533556
WDR61,6.028871202,7.875548012,6.288045866,6.497440288,6.65141051,6.530183171
NPRL2,4.164445754,4.086046841,4.204829201,4.339611342,3.549071414,3.97405833
CRKL,3.928223085,4.292779132,6.67451243,5.142431752,3.963749742,5.271928781
LRP10,1.301283205,5.9241232,4.232249319,5.054794206,5.095844471,5.243815812
STK25,5.642974979,6.425187698,5.993781519,7.007273997,5.685282309,7.060066079
CGRRF1,2.234941868,3.424809493,2.583357785,2.490132884,4.067699521,3.757437048
SMC1A,3.155130772,4.947440697,5.960202013,6.738854177,5.467880483,6.798971614
PAF1,4.25564896,6.243791202,4.706350394,5.699434489,5.614440991,6.148145665
CAPN1,4.901973185,6.281154909,5.939663699,5.634547762,5.650403795,6.257084828
RAP1GAP,-0.045214772,2.17122657,4.646486751,1.527901036,2.207312776,3.775296174
CIRBP,7.754825894,8.996532287,8.341604742,8.767795632,5.520503765,8.613684518
PAK4,1.443484937,6.204438425,3.945079823,4.399346583,4.583576976,4.977390231
CDC20,5.539736791,5.322921704,6.307827519,6.619800702,6.700855257,7.972074146
ADAM10,1.474929498,5.76928845,5.661027929,6.074791996,6.730367935,7.924702034
XPO7,3.540587845,4.291290605,5.555802708,5.315240611,5.146617373,5.522847261
LRRC41,3.661796316,4.397848859,5.580796718,5.648815788,4.4265704,3.544388631
PIK3R4,4.337433384,4.021421288,3.74351517,5.04498132,4.543748066,4.725648053
STAT1,4.39303472,5.90296132,4.720634922,7.991149168,6.638831308,6.377360274
DSG2,0.130140194,3.553151703,5.555424605,0.827120317,5.34872048,6.103638816
TBPL1,3.978243408,4.018931437,7.515417364,4.547117416,4.395950724,5.409791923
HSD17B11,5.608156727,0.503296346,6.61821276,6.290174056,5.825586277,3.168155724
EML3,4.300770589,4.830985259,5.022634851,4.598060607,2.942242421,4.441312991
IL13RA1,1.99135564,5.003654099,4.448152948,4.066388357,6.020673927,5.304377934
SKIV2L,5.547544689,5.053718364,5.554802106,5.31836478,4.225104389,5.531264233
METRN,3.516586126,5.615070453,2.989826876,4.448005207,3.95965727,4.480330697
CDC25B,3.253026218,6.48895915,4.192985756,4.570726618,5.890359174,7.585253894
DUSP4,0.727351994,4.040666486,0.340440451,0.046077983,4.293496752,2.807209215
MAN2B1,6.881576148,5.243056567,4.843760453,4.134019642,3.863716479,5.602464679
C2CD5,2.951775113,3.410556596,3.569898374,4.089275391,3.907245577,2.974383811
BECN1,5.087494042,5.563931272,5.063863247,5.117219517,5.779650763,6.480986849
MAP3K4,3.747526509,2.647336715,4.963331618,2.795280681,2.61216677,4.129809631
ADGRE5,4.855229916,3.517803562,5.38488368,4.846051087,4.158940919,4.239867026
GRB7,-0.107324069,2.577571745,1.770348581,0.62611249,1.927499731,5.707311256
GPER1,0.074233978,3.517200425,0.234995513,1.632342885,0.157000321,0.26709344
BZW2,6.164363441,7.686669812,6.866328816,6.43498066,6.398679836,4.176583065
CHMP4A,6.729386781,6.723799596,5.748149896,5.993481836,6.008550246,6.622887713
CCNB1,3.558154542,7.138960041,6.90776055,7.974436771,8.056892034,7.896857942
STAMBP,3.513732007,4.86762814,4.761537273,4.293021409,4.955704071,5.146927323
STAT5B,2.555773824,3.204064022,6.443620016,3.978263993,3.88905843,5.297710357
FAH,6.533696027,4.960762712,6.22396951,4.912739672,4.549020295,5.217617389
IL1B,1.214708774,0.07410915,0.219281478,-0.040990286,0.15501863,1.321485612
TMEM109,6.045553361,5.81526717,4.841508317,6.122390904,6.257216252,6.302108802
HOXA10,0.187376342,1.452690838,0.07960874,-0.050695313,2.347894681,2.509390579
GAA,0.856521536,5.874779944,2.570014369,4.528007123,3.969451797,5.230919525
PGAM1,7.521506104,8.467059293,7.514770444,9.366802943,8.792103448,7.90040563
KLHDC2,3.913645366,5.163538796,4.621220037,4.634381707,4.585952226,5.712750202
SLC11A2,3.116786919,4.67584436,4.931645936,5.213915084,4.876291248,4.51801693
P4HA2,0.568164462,5.35129587,4.860470223,4.202632812,5.100012663,5.480835522
